Group,District,DistName,County,CntyName,Region,RegnName,Math,Reading,Writing,Total,Grads_Mskd,Exnees_Mskd,Part_Rate,Crit_Mskd,Above_Crit_Rate,Year,ERW,TSI_Both_Mskd,Above_TSI_Both_Rate
Missing Homeless,57847,Village Tech Schools,57,Dallas County,10,Richardson,,,,,0,0,,0,,2020,,0,
Foster Care,57847,Village Tech Schools,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Not Foster Care,57847,Village Tech Schools,57,Dallas County,10,Richardson,477.0,,,986.0,<50,<50,100.0,<25,8.3,2020,509.0,<25,25.0
Missing Foster Care,57847,Village Tech Schools,57,Dallas County,10,Richardson,,,,,0,0,,0,,2020,,0,
Military-Connected,57847,Village Tech Schools,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Not Military-Connected,57847,Village Tech Schools,57,Dallas County,10,Richardson,477.0,,,986.0,<50,<50,100.0,<25,8.3,2020,509.0,<25,25.0
Missing Military-Connected,57847,Village Tech Schools,57,Dallas County,10,Richardson,,,,,0,0,,0,,2020,,0,
Section 504,57847,Village Tech Schools,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Not Section 504,57847,Village Tech Schools,57,Dallas County,10,Richardson,477.0,,,986.0,<50,<50,100.0,<25,8.3,2020,509.0,<25,25.0
Missing Section 504,57847,Village Tech Schools,57,Dallas County,10,Richardson,,,,,0,0,,0,,2020,,0,
All Students,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,508.0,,,1027.0,389,431,100.0,85,19.7,2020,519.0,161,37.4
African American,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,503.0,,,1031.0,76,86,100.0,16,18.6,2020,528.0,32,37.2
American Indian,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,413.0,,,903.0,<25,<25,100.0,<25,,2020,490.0,<25,
Asian,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,621.0,,,1181.0,<50,<75,100.0,<25,48.0,2020,560.0,<50,66.0
Hispanic,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,477.0,,,970.0,203,213,100.0,20,9.4,2020,493.0,54,25.4
Pacific Islander,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
White,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,535.0,,,1093.0,<75,<75,98.6,<25,32.9,2020,557.0,<50,54.8
Multiracial,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,462.0,,,952.0,<25,<25,100.0,<25,20.0,2020,490.0,<25,40.0
Missing Ethnicity,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,,,,,0,0,,0,,2020,,0,
Economically Disadvantaged,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,488.0,,,990.0,218,227,100.0,24,10.6,2020,503.0,69,30.4
Not Economically Disadvantaged,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,514.0,,,1052.0,171,182,100.0,49,26.9,2020,537.0,77,42.3
Missing Econ,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,667.0,,,1197.0,0,22,,12,54.5,2020,530.0,15,68.2
Female,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,494.0,,,1012.0,218,245,100.0,41,16.7,2020,518.0,81,33.1
Male,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,526.0,,,1046.0,171,186,100.0,44,23.7,2020,520.0,80,43.0
Missing Gender,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,,,,,0,0,,0,,2020,,0,
Bil/ESL,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,452.0,,,896.0,<50,<75,100.0,<25,5.9,2020,445.0,<25,13.7
Not Bil/ESL,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,506.0,,,1035.0,<350,<375,100.0,<75,19.6,2020,528.0,<150,38.8
Missing Bil/ESL,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,667.0,,,1197.0,0,22,,12,54.5,2020,530.0,15,68.2
CTE,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,500.0,,,1018.0,<400,<425,100.0,<75,17.9,2020,518.0,<150,35.8
Not CTE,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,,,,,<25,<25,100.0,<25,,2020,,<25,
Missing CTE,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,667.0,,,1197.0,0,22,,12,54.5,2020,530.0,15,68.2
Gifted,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,583.0,,,1197.0,<25,<50,100.0,<25,57.1,2020,614.0,<25,75.0
Not Gifted,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,493.0,,,1004.0,366,381,100.0,57,15.0,2020,511.0,125,32.8
Missing Gifted,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,667.0,,,1197.0,<25,<25,,<25,54.5,2020,530.0,<25,68.2
Special Ed,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,372.0,,,769.0,<25,<25,77.8,<25,,2020,397.0,<25,
Not Special Ed,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,504.0,,,1026.0,<375,<400,100.0,<75,18.5,2020,522.0,<150,37.0
Missing Special Ed,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,667.0,,,1197.0,0,22,,12,54.5,2020,530.0,15,68.2
Title1,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,499.0,,,1016.0,<400,<425,100.0,<75,17.5,2020,517.0,<150,35.5
Not Title1,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,573.0,,,1233.0,<25,<25,,<25,66.7,2020,660.0,<25,66.7
Missing Title1,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,667.0,,,1197.0,0,22,,12,54.5,2020,530.0,15,68.2
At-Risk,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,447.0,,,902.0,<150,<150,100.0,<25,4.9,2020,455.0,<25,10.5
Not At-Risk,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,528.0,,,1081.0,<275,<275,100.0,<75,25.0,2020,552.0,<150,49.6
Missing At-Risk,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,650.0,,,1177.0,0,24,,12,50.0,2020,528.0,15,62.5
English Learner,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,452.0,,,896.0,<50,<75,100.0,<25,5.9,2020,445.0,<25,13.7
Not English Learner,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,506.0,,,1035.0,<350,<375,100.0,<75,19.6,2020,528.0,<150,38.8
Missing English Learner,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,667.0,,,1197.0,0,22,,12,54.5,2020,530.0,15,68.2
Immigrant,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,515.0,,,1009.0,<25,<25,100.0,<25,,2020,494.0,<25,33.3
Not Immigrant,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,499.0,,,1018.0,379,395,100.0,73,18.5,2020,519.0,142,35.9
Missing Immigrant,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,650.0,,,1177.0,<25,<25,,<25,50.0,2020,528.0,<25,62.5
Migrant,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Not Migrant,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,499.0,,,1017.0,<400,<425,100.0,<75,17.8,2020,518.0,<150,35.7
Missing Migrant,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,667.0,,,1197.0,0,22,,12,54.5,2020,530.0,15,68.2
Dyslexia,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,440.0,,,870.0,<25,<25,100.0,<25,,2020,430.0,<25,
Not Dyslexia,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,500.0,,,1019.0,<400,<425,100.0,<75,18.1,2020,519.0,<150,36.1
Missing Dyslexia,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,650.0,,,1177.0,0,24,,12,50.0,2020,528.0,15,62.5
Homeless,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,393.0,,,813.0,<25,<25,100.0,<25,,2020,420.0,<25,
Not Homeless,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,500.0,,,1019.0,<400,<425,100.0,<75,18.0,2020,519.0,<150,36.0
Missing Homeless,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,667.0,,,1197.0,0,22,,12,54.5,2020,530.0,15,68.2
Foster Care,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Not Foster Care,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,499.0,,,1017.0,<400,<425,100.0,<75,17.8,2020,518.0,<150,35.7
Missing Foster Care,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,667.0,,,1197.0,0,22,,12,54.5,2020,530.0,15,68.2
Military-Connected,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Not Military-Connected,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,499.0,,,1017.0,<400,<425,100.0,<75,17.8,2020,518.0,<150,35.7
Missing Military-Connected,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,667.0,,,1197.0,0,22,,12,54.5,2020,530.0,15,68.2
Section 504,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,480.0,,,982.0,<50,<50,100.0,<25,11.5,2020,502.0,<25,23.1
Not Section 504,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,500.0,,,1018.0,363,381,100.0,68,17.8,2020,518.0,138,36.2
Missing Section 504,57848,International Leadership Of Texas,57,Dallas County,10,Richardson,667.0,,,1214.0,<25,<25,,<25,58.3,2020,547.0,<25,70.8
All Students,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
African American,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
American Indian,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Asian,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Hispanic,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Pacific Islander,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
White,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Multiracial,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Missing Ethnicity,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,0,0,,0,,2020,,0,
Economically Disadvantaged,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Not Economically Disadvantaged,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Missing Econ,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Female,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Male,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Missing Gender,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,0,0,,0,,2020,,0,
Bil/ESL,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Not Bil/ESL,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Missing Bil/ESL,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
CTE,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Not CTE,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Missing CTE,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Gifted,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Not Gifted,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Missing Gifted,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Special Ed,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Not Special Ed,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Missing Special Ed,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Title1,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Not Title1,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Missing Title1,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
At-Risk,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Not At-Risk,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Missing At-Risk,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
English Learner,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Not English Learner,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Missing English Learner,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Immigrant,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Not Immigrant,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Missing Immigrant,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Migrant,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Not Migrant,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Missing Migrant,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Dyslexia,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Not Dyslexia,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Missing Dyslexia,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Homeless,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Not Homeless,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Missing Homeless,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Foster Care,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Not Foster Care,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Missing Foster Care,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Military-Connected,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Not Military-Connected,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Missing Military-Connected,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Section 504,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Not Section 504,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Missing Section 504,57850,Pioneer Technology & Arts Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
All Students,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,496.0,,,995.0,"<1,650","<1,625",99.8,<275,16.6,2020,498.0,<550,33.2
African American,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,460.0,,,935.0,<250,<275,100.0,<25,6.3,2020,475.0,<50,17.9
American Indian,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,610.0,,,1242.0,<25,<25,100.0,<25,60.0,2020,632.0,<25,100.0
Asian,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,597.0,,,1162.0,160,168,100.0,78,46.4,2020,565.0,118,70.2
Hispanic,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,475.0,,,952.0,"<1,000",<950,95.2,<100,9.4,2020,477.0,<225,23.8
Pacific Islander,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,,,,,<25,<25,100.0,<25,,2020,,<25,100.0
White,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,541.0,,,1098.0,203,212,100.0,75,35.4,2020,557.0,126,59.4
Multiracial,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,532.0,,,1062.0,<50,<50,100.0,<25,21.3,2020,530.0,<25,42.6
Missing Ethnicity,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,,,,,0,1,,0,,2020,,1,100.0
Economically Disadvantaged,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,477.0,,,956.0,947,931,98.3,102,11.0,2020,479.0,228,24.5
Not Economically Disadvantaged,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,522.0,,,1048.0,679,683,100.0,165,24.2,2020,525.0,306,44.8
Missing Econ,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,498.0,,,1006.0,<25,<25,,<25,30.0,2020,508.0,<25,50.0
Female,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,498.0,,,1006.0,834,843,100.0,144,17.1,2020,507.0,286,33.9
Male,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,494.0,,,983.0,793,781,98.5,126,16.1,2020,489.0,253,32.4
Missing Gender,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Bil/ESL,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,422.0,,,836.0,<250,<225,97.0,<25,0.4,2020,414.0,<25,3.1
Not Bil/ESL,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,508.0,,,1020.0,"<1,400","<1,400",99.6,<275,19.1,2020,512.0,<550,37.9
Missing Bil/ESL,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,498.0,,,1006.0,1,10,,3,30.0,2020,508.0,5,50.0
CTE,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,494.0,,,990.0,909,897,98.7,128,14.3,2020,496.0,285,31.8
Not CTE,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,499.0,,,1000.0,717,717,100.0,139,19.4,2020,502.0,249,34.7
Missing CTE,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,498.0,,,1006.0,<25,<25,,<25,30.0,2020,508.0,<25,50.0
Gifted,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,627.0,,,1267.0,<175,<175,100.0,<125,75.5,2020,640.0,<150,89.3
Not Gifted,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,482.0,,,965.0,"1,471","1,455",98.9,147,10.1,2020,483.0,392,26.9
Missing Gifted,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,498.0,,,1006.0,1,10,,3,30.0,2020,508.0,5,50.0
Special Ed,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,381.0,,,775.0,<125,<125,87.2,<25,2.9,2020,394.0,<25,3.9
Not Special Ed,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,504.0,,,1009.0,"<1,525","<1,525",100.0,<275,17.5,2020,505.0,<550,35.1
Missing Special Ed,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,498.0,,,1006.0,1,10,,3,30.0,2020,508.0,5,50.0
Title1,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,496.0,,,995.0,"<1,625","<1,625",100.0,<275,16.6,2020,499.0,<550,33.1
Not Title1,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,343.0,,,750.0,<25,<25,13.6,<25,,2020,407.0,<25,
Missing Title1,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,498.0,,,1006.0,1,10,,3,30.0,2020,508.0,5,50.0
At-Risk,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,437.0,,,876.0,<650,<625,96.0,<25,3.8,2020,439.0,<75,10.5
Not At-Risk,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,532.0,,,1066.0,"1,000","1,003",100.0,243,24.2,2020,534.0,468,46.7
Missing At-Risk,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,466.0,,,946.0,1,20,,4,20.0,2020,480.0,8,40.0
English Learner,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,422.0,,,836.0,<250,<250,97.1,<25,0.4,2020,414.0,<25,3.0
Not English Learner,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,509.0,,,1021.0,"<1,400","<1,400",99.6,<275,19.3,2020,513.0,<550,38.2
Missing English Learner,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,498.0,,,1006.0,1,10,,3,30.0,2020,508.0,5,50.0
Immigrant,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,442.0,,,866.0,<75,<100,100.0,<25,3.9,2020,424.0,<25,7.9
Not Immigrant,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,499.0,,,1002.0,"<1,575","<1,550",98.2,<275,17.2,2020,502.0,<550,34.4
Missing Immigrant,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,466.0,,,946.0,1,20,,4,20.0,2020,480.0,8,40.0
Migrant,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Not Migrant,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,496.0,,,995.0,"<1,650","<1,625",99.3,<275,16.5,2020,498.0,<550,33.1
Missing Migrant,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,498.0,,,1006.0,1,10,,3,30.0,2020,508.0,5,50.0
Dyslexia,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,473.0,,,936.0,<25,<25,90.5,<25,5.3,2020,464.0,<25,31.6
Not Dyslexia,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,497.0,,,996.0,"<1,625","<1,600",98.8,<275,16.7,2020,499.0,<550,33.1
Missing Dyslexia,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,466.0,,,946.0,1,20,,4,20.0,2020,480.0,8,40.0
Homeless,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,447.0,,,907.0,<25,<25,100.0,<25,6.7,2020,459.0,<25,6.7
Not Homeless,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,497.0,,,995.0,"1,616","1,599",98.9,266,16.6,2020,499.0,533,33.3
Missing Homeless,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,498.0,,,1006.0,1,10,,3,30.0,2020,508.0,5,50.0
Foster Care,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Not Foster Care,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,496.0,,,995.0,"<1,650","<1,625",99.3,<275,16.5,2020,498.0,<550,33.1
Missing Foster Care,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,498.0,,,1006.0,1,10,,3,30.0,2020,508.0,5,50.0
Military-Connected,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2020,,<25,
Not Military-Connected,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,496.0,,,995.0,"<1,650","<1,625",99.3,<275,16.5,2020,498.0,<550,33.1
Missing Military-Connected,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,498.0,,,1006.0,1,10,,3,30.0,2020,508.0,5,50.0
Section 504,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,501.0,,,1008.0,79,80,100.0,17,21.3,2020,507.0,31,38.8
Not Section 504,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,496.0,,,994.0,"1,546","1,532",99.1,249,16.3,2020,498.0,502,32.8
Missing Section 504,57903,Carrollton-Farmers Branch ISD,57,Dallas County,10,Richardson,516.0,,,1043.0,<25,<25,,<25,33.3,2020,528.0,<25,50.0
All Students,57904,Cedar Hill ISD,57,Dallas County,10,Richardson,461.0,,,939.0,610,574,94.1,41,7.1,2020,478.0,116,20.2
African American,57904,Cedar Hill ISD,57,Dallas County,10,Richardson,452.0,,,921.0,443,422,95.3,24,5.7,2020,469.0,68,16.1
American Indian,57904,Cedar Hill ISD,57,Dallas County,10,Richardson,403.0,,,743.0,<25,<25,100.0,<25,,2020,340.0,<25,
Asian,57904,Cedar Hill ISD,57,Dallas County,10,Richardson,549.0,,,1119.0,<25,<25,88.9,<25,50.0,2020,570.0,<25,62.5
Hispanic,57904,Cedar Hill ISD,57,Dallas County,10,Richardson,482.0,,,978.0,123,109,88.6,8,7.3,2020,496.0,32,29.4
Pacific Islander,57904,Cedar Hill ISD,57,Dallas County,10,Richardson,,,,,<25,<25,100.0,<25,,2020,,<25,
White,57904,Cedar Hill ISD,57,Dallas County,10,Richardson,518.0,,,1063.0,<25,<25,87.5,<25,28.6,2020,545.0,<25,42.9
Multiracial,57904,Cedar Hill ISD,57,Dallas County,10,Richardson,482.0,,,990.0,<25,<25,100.0,<25,5.9,2020,508.0,<25,29.4
Missing Ethnicity,57904,Cedar Hill ISD,57,Dallas County,10,Richardson,,,,,0,0,,0,,2020,,0,
Economically Disadvantaged,57904,Cedar Hill ISD,57,Dallas County,10,Richardson,450.0,,,914.0,341,322,94.4,14,4.3,2020,464.0,51,15.8
Not Economically Disadvantaged,57904,Cedar Hill ISD,57,Dallas County,10,Richardson,476.0,,,972.0,269,250,92.9,27,10.8,2020,496.0,64,25.6
Missing Econ,57904,Cedar Hill ISD,57,Dallas County,10,Richardson,445.0,,,935.0,0,2,,0,,2020,490.0,1,50.0
Female,57904,Cedar Hill ISD,57,Dallas County,10,Richardson,463.0,,,947.0,334,322,96.4,18,5.6,2020,484.0,70,21.7
